rank,scenario_type,tag_count
1,stationary,1971123
2,on_intersection,1827570
3,medium_magnitude_speed,1691625
4,on_stopline_traffic_light,1376408
5,traversing_intersection,1361406
6,stationary_at_traffic_light_without_lead,1094325
7,traversing_traffic_light_intersection,659598
8,on_traffic_light_intersection,574549
9,on_stopline_stop_sign,507881
10,high_magnitude_speed,354984
11,near_barrier_on_driveable,311863
12,near_pedestrian_on_crosswalk,219786
13,traversing_crosswalk,202646
14,stationary_at_traffic_light_with_lead,142622
15,following_lane_without_lead,137083
16,near_long_vehicle,98311
17,on_stopline_crosswalk,97305
18,low_magnitude_speed,93954
19,near_trafficcone_on_driveable,57051
20,near_high_speed_vehicle,31816
21,starting_right_turn,29297
22,high_lateral_acceleration,26893
23,starting_unprotected_cross_turn,26414
24,starting_left_turn,23827
25,stationary_in_traffic,21090
26,starting_straight_stop_sign_intersection_traversal,19859
27,starting_unprotected_noncross_turn,18094
28,stopping_at_stop_sign_no_crosswalk,14587
29,accelerating_at_traffic_light,8894
30,accelerating_at_traffic_light_without_lead,8894
31,behind_long_vehicle,6687
32,stopping_at_stop_sign_without_lead,6384
33,starting_protected_noncross_turn,5733
34,accelerating_at_stop_sign,5271
35,waiting_for_pedestrian_to_cross,4931
36,stopping_at_traffic_light_without_lead,4816
37,starting_straight_traffic_light_intersection_traversal,4417
38,accelerating_at_stop_sign_no_crosswalk,4349
39,following_lane_with_slow_lead,3383
40,stopping_at_crosswalk,3297
41,behind_bike,3133
42,starting_protected_cross_turn,2883
43,near_multiple_vehicles,2529
44,near_pedestrian_on_crosswalk_with_ego,1874
45,starting_high_speed_turn,1734
46,behind_pedestrian_on_driveable,1010
47,changing_lane,870
48,starting_low_speed_turn,737
49,accelerating_at_crosswalk,722
50,changing_lane_to_right,453
51,changing_lane_to_left,417
52,stopping_with_lead,323
53,stopping_at_stop_sign_with_lead,275
54,stopping_at_traffic_light_with_lead,275
55,starting_u_turn,270
56,traversing_narrow_lane,186
57,crossed_by_vehicle,142
58,following_lane_with_lead,89
59,near_multiple_pedestrians,85
60,on_carpark,68
61,high_magnitude_jerk,57
62,crossed_by_bike,56
63,accelerating_at_traffic_light_with_lead,45
64,near_multiple_bikes,12
65,changing_lane_with_trail,3
