rank,scenario_type,tag_count
1,stationary,2715040
2,near_pedestrian_on_crosswalk,2103155
3,on_pickup_dropoff,1462551
4,on_intersection,1303105
5,on_traffic_light_intersection,1071958
6,traversing_intersection,840346
7,traversing_traffic_light_intersection,786073
8,traversing_pickup_dropoff,702337
9,high_magnitude_speed,683103
10,stationary_in_traffic,643725
11,medium_magnitude_speed,603234
12,near_pedestrian_at_pickup_dropoff,396621
13,low_magnitude_speed,157268
14,on_stopline_traffic_light,151603
15,near_long_vehicle,109321
16,traversing_crosswalk,104738
17,near_trafficcone_on_driveable,75824
18,near_high_speed_vehicle,75395
19,stationary_at_traffic_light_without_lead,61333
20,near_construction_zone_sign,50497
21,stationary_at_traffic_light_with_lead,43434
22,following_lane_with_slow_lead,34214
23,on_all_way_stop_intersection,33215
24,near_multiple_vehicles,32156
25,on_stopline_crosswalk,27492
26,on_stopline_stop_sign,27492
27,near_pedestrian_on_crosswalk_with_ego,16556
28,behind_long_vehicle,9065
29,starting_right_turn,8101
30,starting_protected_noncross_turn,7711
31,waiting_for_pedestrian_to_cross,7336
32,starting_left_turn,5561
33,starting_straight_traffic_light_intersection_traversal,5076
34,starting_unprotected_cross_turn,4592
35,accelerating_at_traffic_light,4441
36,accelerating_at_traffic_light_without_lead,3886
37,following_lane_without_lead,3580
38,starting_straight_stop_sign_intersection_traversal,2729
39,stopping_at_crosswalk,2402
40,following_lane_with_lead,2146
41,stopping_with_lead,2100
42,near_multiple_pedestrians,1795
43,behind_bike,1576
44,near_barrier_on_driveable,1271
45,starting_high_speed_turn,1162
46,starting_low_speed_turn,1087
47,starting_protected_cross_turn,969
48,stopping_at_stop_sign_without_lead,546
49,behind_pedestrian_on_pickup_dropoff,424
50,changing_lane,402
51,starting_unprotected_noncross_turn,390
52,accelerating_at_traffic_light_with_lead,388
53,accelerating_at_crosswalk,381
54,stopping_at_traffic_light_without_lead,355
55,on_carpark,293
56,changing_lane_to_left,231
57,changing_lane_to_right,171
58,stopping_at_stop_sign_with_lead,169
59,stopping_at_traffic_light_with_lead,169
60,accelerating_at_stop_sign,169
61,crossed_by_vehicle,79
62,stationary_at_crosswalk,68
63,high_magnitude_jerk,37
64,behind_pedestrian_on_driveable,37
65,near_multiple_bikes,23
66,high_lateral_acceleration,20
67,starting_u_turn,18
68,changing_lane_with_trail,11
69,crossed_by_bike,8
70,traversing_narrow_lane,4
71,accelerating_at_stop_sign_no_crosswalk,3
72,changing_lane_with_lead,1
